"Summary","Description","Priority","Issue Type","Epic","Component","Estimate","Suggested Owner","Parallel Track","Can Start After","Acceptance Criteria"
"CategoryAttribute model va API","Category-specific filter fields uchun CategoryAttribute model va admin yozing. type text number boolean choice multi_choice bo'lsin. Public category detailda filterable attributes qaytsin.","Medium","Task","Catalog","Attributes","3","Dev C","Catalog","Category model ready","Attribute admin bor; category detailda attributes bor; type validation ishlaydi"
"Seed root categories command","Root categories va asosiy subcategorylarni yaratadigan management command yozing. Design Development & IT Writing & Translations SEO Digital Marketing Audio & Video Business & Lifestyle kiritilsin. Command idempotent bo'lsin.","Medium","Task","Catalog","Seed Data","2","Dev C","Catalog","Category model ready","Command qayta ishlaganda duplicate qilmaydi; root categories yaratiladi; READMEda komanda bor"
"Tag model va tag normalization","Tag va KworkTag modellarini yozing. Tag slug normalize qiling. Kwork yaratishda text taglarni existing tagga bog'lash helperini yozing. usage_count update signal yoki service bilan ishlasin.","Medium","Task","Catalog","Tags","3","Dev A","Catalog","Kwork model ready","Tag duplicate bo'lmaydi; slug normalize; usage_count update; tests bor"
"Kwork core model va admin","Kwork modelni seller category title slug overview requirements status moderation_status price cached fields stats bilan implement qiling. Admin listda status category seller filter bo'lsin. Slug seller scope ichida unique bo'lsin.","High","Task","Kworks","Kwork Model","6","Dev A","Kworks","User Category ready","Kwork model migrate bo'ladi; admin list/filter bor; seller slug unique; status enums ishlaydi"
"KworkPackage va package feature matrix","KworkPackage KworkPackageFeature KworkPackageFeatureValue modellarini yozing. Basic Standard Premium enum bo'lsin. Feature value boolean text number qo'llansin. Package price delivery revision validation yozilsin.","High","Task","Kworks","Packages","5","Dev B","Kworks","Kwork model ready","1 yoki 3 package saqlanadi; invalid price delivery rad etiladi; feature matrix tests bor"
"KworkExtraOption model va validation","Extra option modelni title description price extra_days active sort_order bilan yozing. Price minimum 0dan katta. Extra option faqat own kwork seller tomonidan boshqarilsin.","Medium","Task","Kworks","Extras","3","Dev C","Kworks","Kwork model ready","Extra create update delete ishlaydi; permission to'g'ri; tests bor"
"KworkMedia upload model","KworkMedia model va local media upload serializer yozing. Image/video media_type thumbnail optional alt_text sort_order is_primary bo'lsin. Bitta kworkda faqat bitta primary media bo'lishini ta'minlang.","Medium","Task","Kworks","Media","4","Dev A","Kworks","Kwork model ready","Media upload/list/delete ishlaydi; primary unique; file validation bor"
"KworkFAQ va attribute values","KworkFAQ va KworkAttributeValue modellarini implement qiling. Kwork detail serializerda FAQ va attribute values qaytsin. CategoryAttribute required bo'lsa submit review paytida tekshirilsin.","Medium","Task","Kworks","FAQ Attributes","3","Dev B","Kworks","Kwork and CategoryAttribute ready","FAQ CRUD ishlaydi; attribute values saqlanadi; required attribute validation bor"
"Kwork draft CRUD API","GET POST PATCH DELETE /api/kworks/ va /api/kworks/{id}/ endpointlarini yozing. Seller faqat o'z kwork draft/pending/rejected holatlarini edit qila olsin. DELETE hard delete emas archived qilsin.","High","Task","Kworks","Kwork API","6","Dev A","Kworks","Kwork related models ready","Seller create/update/archive qila oladi; guest public active detailni ko'radi; owner permissions tests bor"
"Kwork submit review pause activate endpoints","POST submit-review pause activate endpointlarini yozing. Submit review required fields package primary media category validation qilsin. Pause active kworkni paused qiladi. Activate paused approved kworkni active qiladi.","High","Task","Kworks","Kwork Workflow","4","Dev B","Kworks","Kwork CRUD ready","Submit review validation ishlaydi; pause activate transition to'g'ri; tests bor"
"Kwork public listing API","GET /api/kworks/ public listingni yozing. Faqat active approved kworklar chiqsin. Response card uchun image title price seller username level rating favorite_count qaytsin.","High","Task","Catalog","Kwork Listing","4","Dev C","Catalog","Kwork model ready","Public listing active kworklarni qaytaradi; inactive hidden; response card fields bor; tests bor"
"Kwork search filter sort","Kwork listingga search q price_min price_max category seller_level delivery_days tags ordering filterlarini qo'shing. PostgreSQL full text yoki icontains MVP ishlatish mumkin. Sort relevance newest price rating completed orders bo'lsin.","High","Task","Catalog","Search Filters","6","Dev C","Catalog","Kwork listing ready","Filters query params bilan ishlaydi; sort ishlaydi; tests har filter uchun bor"
"Favorite kwork endpoints","POST DELETE /api/kworks/{id}/favorite/ va GET /api/me/favorites/ yozing. Guest favorite bosolmaydi. Duplicate favorite yaratmasin. favorites_count update qiling.","Medium","Task","Catalog","Favorites","3","Dev A","Catalog","Kwork listing ready","Favorite add/remove/list ishlaydi; duplicate idempotent; count update; tests bor"
"Portfolio model va CRUD API","PortfolioWork va PortfolioMedia modellarini yozing. Seller o'z portfolio itemlarini create update delete qilsin. Public seller profileda public portfolio chiqsin. Kwork detailda related portfolio chiqsin.","Medium","Task","Portfolio","Portfolio","5","Dev B","Portfolio","User Kwork ready","Portfolio CRUD ishlaydi; media upload; public/private visibility; tests bor"
"Order model va price snapshot service","Order modelni buyer seller kwork package price snapshots status payment_status funds_status dates bilan yozing. Order create paytida kwork title package price extra snapshot saqlaydigan service yarating.","High","Task","Orders","Order Model","6","Dev A","Orders","Kwork packages extras ready","Order migrate; snapshot fields saqlanadi; price calculation tests bor"
"Order create endpoint","POST /api/orders/ yozing. Buyer package va selected extras yuboradi. System own kwork purchase blocking active kwork package active seller active validation qiladi. Order payment_pending yoki requirements_required bo'lsin.","High","Task","Orders","Order API","5","Dev A","Orders","Order model ready","Order create works; own kwork rad; inactive kwork rad; total hisoblanadi; tests bor"
"Order list detail permissions","GET /api/orders/ va GET /api/orders/{id}/ endpointlarini yozing. Buyer o'z orderlarini seller o'z orderlarini ko'rsin. Moderator ham ko'ra olsin. Guest access yo'q.","High","Task","Orders","Order API","4","Dev B","Orders","Order model ready","Participant orderni ko'radi; begona user 403; list rolega qarab filter; tests bor"
"Order requirements endpoint","POST /api/orders/{id}/requirements/ yozing. Buyer text answer file link yubora olsin. Requirements yuborilgach requirements_submitted_at set bo'lsin va system message yaralsin.","Medium","Task","Orders","Requirements","3","Dev C","Orders","Order model ready","Requirement save; only buyer; files work; system message created; tests bor"
"Seller accept order endpoint","POST /api/orders/{id}/accept/ yozing. Faqat seller order seller_pending_acceptance holatda accept qilsin. Deadline accepted_at plus delivery_days plus extras_days bilan hisoblanadi. Status in_progress bo'lsin.","High","Task","Orders","Order Workflow","4","Dev A","Orders","Order create ready","Seller accept works; wrong status 400; deadline correct; system message; tests bor"
"Order message model va chat API","OrderMessage va OrderAttachment modellarini yozing. GET POST /api/orders/{id}/messages/ endpointlari participant permission bilan ishlasin. System message support bo'lsin. Read flags saqlansin.","High","Task","Orders","Messages","5","Dev B","Orders","Order permissions ready","Participant message yuboradi; attachment upload; system messages listda; foreign user 403; tests bor"
"Off-platform keyword flagging service","Kwork overview chat reviewlarda off-platform contact/payment keywords aniqlaydigan service yozing. MVPda simple keyword list bo'lsin. Flag bo'lsa moderation/report yoki validation warning yaratsin.","Medium","Task","Safety","Moderation Helpers","3","Dev C","Safety","Kwork and Message ready","Keyword service tests bor; chat/kwork submitda flag ishlaydi; false positive message documented"
"Delivery model va deliver endpoint","Delivery va DeliveryAttachment modellarini yozing. POST /api/orders/{id}/deliver/ sellerga delivery message/files yuborish imkonini bersin. Status delivered bo'lsin. auto_approve_at hisoblanadi.","High","Task","Orders","Delivery","5","Dev A","Orders","Order messages ready","Seller deliver works; files attach; auto_approve_at set; buyer notified; tests bor"
"Buyer approve delivery endpoint","POST /api/orders/{id}/approve/ yozing. Buyer delivered orderni approve qilsa order completed bo'lsin. funds_status released. Earning yaratiladi. Review window boshlanishi uchun completed_at set bo'lsin.","High","Task","Orders","Completion","4","Dev B","Orders","Delivery ready","Approve works; seller cannot approve; earning created; status completed; tests bor"
"Revision request endpoint","POST /api/orders/{id}/revision/ yozing. Buyer delivered order uchun reason bilan revision so'rasin. RevisionRequest yaralsin. Order status revision_requested bo'lsin. Revision limit packagega qarab tekshirilsin.","High","Task","Orders","Revision","4","Dev C","Orders","Delivery ready","Revision create; reason required; limit enforced; seller notified; tests bor"
"Cancellation request model va endpoint","CancellationRequest model va POST /api/orders/{id}/cancel-request/ endpointini yozing. Buyer 20 minut rule seller 24 soat accept rule overdue rule mutual manual reasonlarini qo'llang. Status transition aniq bo'lsin.","High","Task","Orders","Cancellation","5","Dev A","Orders","Order workflow ready","Cancel request create; auto eligible rules; invalid role/status rad; tests bor"
"Dispute model va endpoint","Dispute model va POST /api/orders/{id}/dispute/ yozing. Buyer yoki seller reason bilan dispute ochadi. Order status disputed bo'ladi. Moderator assignment nullable bo'lsin.","Medium","Task","Orders","Disputes","4","Dev B","Orders","Cancellation ready","Dispute open; participant only; duplicate open dispute rad; tests bor"
"Order scheduled jobs","Celery yoki django management command orqali scheduled tasks yozing. seller pending accept timeout overdue check auto approve delivery custom offer expire buyer request expire ishlasin. Devda management command bilan run qilinsin.","High","Task","Automation","Cron Jobs","6","Dev C","Automation","Order delivery custom offer buyer request ready","Commands due recordsni update qiladi; idempotent; tests freeze time bilan bor"
"Payment model va ledger models","Payment Refund Earning LedgerEntry modellarini yozing. Provider status amount currency idempotency_key raw_request raw_response fieldlari bo'lsin. Admin panelda ko'rinsin.","High","Task","Payments","Payment Models","5","Dev A","Payments","Order model ready","Payment refund earning ledger migrate; admin usable; amount currency validation; tests bor"
"Click test payment init/callback","POST /api/payments/click/init/ va callback yozing. Test mode uchun mock invoice qaytaring. Callback amount currency order match qilsin. Idempotency duplicate callbackni ignore qilsin.","High","Task","Payments","Click Test","5","Dev B","Payments","Payment models ready","Click init works; success callback order paid; duplicate safe; invalid amount rejected; tests bor"
"Payme test payment init/callback","POST /api/payments/payme/init/ va callback yozing. Test mode mock transaction qaytarsin. Success fail refund statuses qo'llansin. Raw payload saqlansin.","High","Task","Payments","Payme Test","5","Dev C","Payments","Payment models ready","Payme init/callback works; raw payload saved; fail case tested; duplicate safe"
"Manual payment simulation endpoints","POST /api/payments/{id}/simulate-success/ va simulate-fail yozing. Faqat staff yoki dev settingda ruxsat. Test jarayonida orderni tez paid/failed qilish uchun kerak.","Medium","Task","Payments","Payment Simulation","3","Dev A","Payments","Payment models ready","Staff simulate success/fail qiladi; non-staff 403; order status update; tests bor"
"Refund service va provider simulation","Cancellation approved bo'lganda refund yaratish service yozing. Payment refunded funds_status refunded ledger refund yarating. Click/Payme test refund raw_response saqlansin.","High","Task","Payments","Refunds","5","Dev B","Payments","Cancellation and payment ready","Refund service idempotent; order canceled refunded; ledger yoziladi; tests bor"
"Earnings release va payout simulation","Order completed bo'lganda seller earning va ledger entries yarating. GET /api/seller/earnings/ va payout request endpoints yozing. Admin payout paid_test qiladigan action yozing.","High","Task","Payments","Earnings Payouts","5","Dev C","Payments","Approve delivery ready","Completed order earning yaratadi; seller earnings list; payout request; admin paid_test; tests bor"
"Review model va create endpoint","Review va ReviewReply modellarini yozing. POST /api/orders/{id}/review/ buyer completed yoki canceled order uchun rating/text yuborsin. One review per order rule bo'lsin.","High","Task","Reviews","Reviews","4","Dev A","Reviews","Order completion ready","Review create works; duplicate blocked; wrong status blocked; seller rating recalculated; tests bor"
"Review edit delete window rules","PATCH DELETE /api/reviews/{id}/ yozing. Positive review 30 days negative 2 days rule ishlasin. Review status moderationga tushishi mumkin. Buyer faqat o'z reviewini edit/delete qilsin.","Medium","Task","Reviews","Reviews","4","Dev B","Reviews","Review create ready","Edit windows enforce; permission correct; status update; tests bor"
"Seller review reply endpoint","POST /api/reviews/{id}/reply/ yozing. Seller faqat o'ziga yozilgan reviewga bitta reply qo'sha olsin. Reply edit optional bo'lsa serializer bilan update ham yozing.","Low","Task","Reviews","Review Replies","2","Dev C","Reviews","Review model ready","Seller reply works; duplicate reply blocked; buyer cannot reply as seller; tests bor"
"Seller rating recalculation service","Review yaratilganda yoki o'zgarganda SellerProfile va Kwork rating_avg reviews_count positive_review_percent cached fields update qiluvchi service yozing. Race conditiondan saqlaning.","Medium","Task","Reviews","Ratings","3","Dev A","Reviews","Review model ready","Rating average correct; count correct; positive percent correct; tests bor"
"BuyerRequest model va CRUD API","BuyerRequest va attachment modellarini yozing. GET POST GET detail PATCH submit-review endpointlari ishlasin. Buyer o'z requestini draft/pending/rejected holatda edit qilsin.","High","Task","Exchange","Buyer Requests","5","Dev B","Exchange","User Category ready","Buyer request CRUD; attachments; permissions; submit review validation; tests bor"
"Proposal model va seller proposal API","Proposal model va POST /api/buyer-requests/{id}/proposals/ yozing. Seller active requestga bitta proposal yubora olsin. Price delivery revision message required. Buyer o'z requestiga proposal yubora olmasin.","High","Task","Exchange","Proposals","4","Dev C","Exchange","BuyerRequest ready","Proposal create; unique per seller/request; owner blocked; tests bor"
"Proposal list accept reject endpoints","GET proposals for buyer request va POST /api/proposals/{id}/accept reject yozing. Buyer faqat o'z request proposalsini ko'rsin. Accept qilinganda custom offer yoki order flowga ulansin.","High","Task","Exchange","Proposals","5","Dev A","Exchange","Proposal model ready","Buyer proposal list; accept/reject; accepted proposal status; tests bor"
"CustomOffer model va API","CustomOffer va CustomOfferItem modellarini yozing. Seller buyerga offer yuborsin. Buyer accept reject qilsin. Expires_at rule bo'lsin. Accept order payment_pending yaratadi.","High","Task","Exchange","Custom Offers","5","Dev B","Exchange","Order create ready","Custom offer send/list/accept/reject works; accept creates order; expire support; tests bor"
"ModerationCase model va queue API","ModerationCase model yozing. Kwork BuyerRequest Portfolio Review uchun queue endpoint yarating. Moderator pending itemlarni ko'radi. Object preview minimal serializer bilan qaytsin.","High","Task","Moderation","Moderation Queue","5","Dev C","Moderation","Kwork BuyerRequest Portfolio Review ready","Queue lists pending; moderator only; object_type filters; tests bor"
"Moderation approve reject request-changes endpoints","POST /api/moderation/{object_type}/{object_id}/approve reject request-changes yozing. Reject reason required. Kwork va BuyerRequest statuslari mos update bo'lsin. Audit log yozilsin.","High","Task","Moderation","Moderation Actions","5","Dev A","Moderation","Moderation queue ready","Approve active qiladi; reject reason required; changes requested; audit log; tests bor"
"Report model va report API","Report modelni content/user/order/message uchun yozing. Auth user report yaratadi. Moderator report list va status update qila oladi. Duplicate spamdan saqlash uchun same reporter target open report unique qiling.","Medium","Task","Moderation","Reports","4","Dev B","Moderation","User Kwork Order Message ready","Report create/list/update works; moderator permission; duplicate open blocked; tests bor"
"SupportTicket va SupportMessage API","SupportTicket SupportMessage modellarini yozing. User ticket ochadi message qo'shadi. Support/moderator status priority update qiladi. Related order/kwork nullable bo'lsin.","Medium","Task","Support","Tickets","4","Dev C","Support","User Order Kwork ready","Ticket CRUD; message add; permissions; status update; tests bor"
"AuditLog middleware/helper","AuditLog modelga actor action object before after ip user_agent yozadigan helper yarating. Payment moderation order status changesda chaqiring. Admin readonly list bo'lsin.","Medium","Task","Foundation","Audit","3","Dev A","Foundation","Core models ready","Audit helper works; key actions log; admin readonly; tests bor"
"Notification model va service","Notification model va create_notification service yozing. Order payment delivery revision review moderation payout events uchun in-app notification yarating. GET notifications endpoint va mark read endpoint bo'lsin.","Medium","Task","Notifications","In App Notifications","5","Dev B","Notifications","Order Kwork Payment ready","Notification list; mark read; events create notifications; tests bor"
"EmailLog va email stub","EmailLog model va fake email backend/helper yozing. Password reset moderation order events email logga yozilsin. Devda console/log ko'rinsin real SMTP shart emas.","Low","Task","Notifications","Email Stub","3","Dev C","Notifications","Notification service ready","Email log creates; failed/sent statuses; password reset uses stub; tests bor"
"Permission classes package","Reusable DRF permission classes yozing: IsOwner IsSellerProfileOwner IsOrderParticipant IsModerator IsAdminOrReadOnly. Endpointlarda takror kod kamaytirilsin.","High","Task","Security","Permissions","4","Dev A","Security","Core APIs ready","Permission classes unit tested; endpoints use classes; 403 behavior consistent"
"Serializer validation error format","API validation errorsni bir xil formatda qaytarish uchun custom exception handler yoki standard pattern yozing. Junior frontend tushunishi uchun field errorlar aniq bo'lsin.","Medium","Task","Foundation","API Errors","3","Dev B","Foundation","DRF configured","Validation response consistent; docs example bor; tests bor"
"API pagination filtering defaults","Global pagination page_size ordering filter backend sozlang. Listing endpointlari paginationdan foydalansin. Response count next previous results formatda bo'lsin.","Medium","Task","Foundation","API Defaults","2","Dev C","Foundation","DRF configured","Pagination global works; kworks/orders list paginated; tests bor"
"File upload validation","Media attachment portfolio delivery order message uploads uchun umumiy file validation yozing. Max size allowed content types image/video/document ajrating. Invalid file clear error qaytarsin.","Medium","Task","Security","Uploads","4","Dev A","Security","Media endpoints ready","Max size enforced; content type enforced; all upload serializers use helper; tests bor"
"Admin dashboards basic registration","Barcha asosiy modellar admin panelga registered bo'lsin. List display search filter readonly money fields status actions tartibli bo'lsin. Admin juniorlar debug qilishiga yordam bersin.","Medium","Task","Admin","Django Admin","5","Dev B","Admin","Models ready","Core models admin visible; search/filter bor; no sensitive raw password; smoke test admin loads"
"CommissionRule va PlatformSetting","PlatformSetting va CommissionRule modellarini yozing. Admin orqali platform minimum price seller commission buyer fee auto approve days sozlansin. Defaults management command bilan yaralsin.","Medium","Task","Payments","Settings","4","Dev C","Payments","Payment models ready","Settings admin; default values command; order price service settingsdan foydalanadi; tests bor"
"Public seller profile detail API","GET /api/sellers/{username}/ endpointini seller kworks portfolio reviews stats bilan chiqaring. Offline/online joined country completed orders reviews count ko'rinsin.","Medium","Task","Profiles","Public Profile","4","Dev A","Profiles","Seller Kwork Review Portfolio ready","Seller public profile contains stats; inactive hidden where needed; tests bor"
"Homepage stats API","Homepage uchun root categories active kworks new kworks this week new buyers this week popular tags endpoint yozing. Frontend landing sahifasi real data bilan ishlasin.","Low","Task","Catalog","Homepage API","3","Dev B","Catalog","Category Kwork User ready","Homepage endpoint returns categories stats tags; empty DB safe; tests bor"
"Kwork detail API rich response","Kwork detail endpoint responsega gallery package table overview requirements attributes FAQ portfolio seller card reviews similar kworks qo'shing. Public active kwork only. Owner draft detail alohida permission bilan ishlasin.","High","Task","Kworks","Kwork Detail","6","Dev C","Kworks","Kwork Review Portfolio Seller ready","Detail response complete; inactive public 404; owner draft visible; tests bor"
"Similar kworks service","Kwork detailda similar kworks chiqarish service yozing. Same category first keyin tags overlap keyin rating sort. Limit 12. Empty bo'lsa [] qaytsin.","Low","Task","Catalog","Recommendations","3","Dev A","Catalog","Kwork listing ready","Similar kworks returns active only; current kwork excluded; tests bor"
"Other kworks from seller service","Kwork detailda same seller boshqa active kworklarini chiqaring. Current kwork excluded. Limit 8. Price image title stats card fields qaytsin.","Low","Task","Catalog","Recommendations","2","Dev B","Catalog","Kwork detail ready","Other seller kworks endpoint/field works; current excluded; tests bor"
"Data seed for demo users kworks orders","Demo data command yarating. Buyer seller moderator users root categories kworks packages media fake orders reviews yaratilsin. Local demo uchun login credentials READMEda yozilsin.","Medium","Task","Dev Experience","Seed Data","5","Dev C","DevEx","Core models ready","Seed command idempotent-ish; demo users created; sample kworks visible; README credentials"
"OpenAPI schema and Swagger UI","drf-spectacular yoki mos tool qo'shib OpenAPI schema yarating. Swagger/Redoc lokalda ko'rinsin. Endpoint tags Auth Catalog Kworks Orders Payments Exchange Admin kabi ajratilsin.","Medium","Task","Documentation","API Docs","4","Dev A","Docs","Major APIs ready","/api/schema/ works; Swagger UI works; tags readable; auth documented"
"README developer setup update","READMEga setup steps yozing: uv sync install env postgres migrate seed runserver tests. Project modules qisqa tushuntirilsin. Junior yangi clone qilib 15 minutda run qila olishi kerak.","High","Task","Documentation","README","3","Dev B","Docs","Foundation ready","README commands current; env example referenced; runserver works after steps"
"Unit tests for model constraints","Model constraints uchun tests yozing: unique fields owner cannot buy own kwork package price delivery category tree review duplicate payment idempotency. Testlar tez ishlasin.","High","Task","Testing","Unit Tests","5","Dev C","Testing","Models ready","pytest/django tests pass; constraints covered; failures readable"
"API tests auth profiles categories","Auth profile category API endpoints uchun tests yozing. Signup login me seller profile category tree inactive hidden validation cases qamrab olinsin.","High","Task","Testing","API Tests","5","Dev A","Testing","Auth Profile Category APIs ready","Tests cover happy and error paths; permissions checked; pass locally"
"API tests kwork lifecycle","Kwork draft create package media submit moderation approve active listing detail pause archive flow uchun tests yozing. Seller owner and guest permissions qamrab olinsin.","High","Task","Testing","API Tests","6","Dev B","Testing","Kwork moderation APIs ready","Full kwork lifecycle tested; permission tests; listing visibility tests"
"API tests order payment delivery flow","Order create payment success seller accept delivery buyer approve earning flow uchun integration tests yozing. Click va manual simulate success qamrab olinsin.","High","Task","Testing","Integration Tests","6","Dev C","Testing","Order payment delivery ready","End-to-end order flow passes; earning created; status transitions asserted"
"API tests cancellation refund dispute","Cancellation 20 minut rule seller not accept overdue manual dispute refund flow tests yozing. Payment duplicate callback va refund idempotency ham qamrab olinsin.","High","Task","Testing","Integration Tests","6","Dev A","Testing","Cancellation refund dispute ready","Refund flows pass; duplicate callbacks safe; dispute status tested"
"API tests exchange custom offer","Buyer request proposal accept custom offer accept creates order flow tests yozing. One proposal per seller va expired offer rules qamrab olinsin.","Medium","Task","Testing","Integration Tests","5","Dev B","Testing","Exchange custom offer ready","Exchange flow tests pass; validation errors checked; order created from accepted offer"
"API tests review rating notifications","Review create edit window seller reply rating recalculation notification creation tests yozing. Positive 30 days negative 2 days rule freeze time bilan tekshirilsin.","Medium","Task","Testing","Integration Tests","5","Dev C","Testing","Review notification ready","Review rules tested; rating recalculates; notifications created"
"Frontend project setup","Frontend stack tanlangan bo'lsa React/Vite yoki Next app scaffold qiling. Routing auth token storage API client env base URL UI theme colors sozlang. Agar backend-only repo bo'lsa frontend papka alohida yarating.","High","Task","Frontend","Frontend Foundation","5","Dev A","Frontend","API docs ready","Frontend dev server runs; API client configured; routes skeleton; theme colors"
"Frontend auth pages","Login signup password reset pages yarating. Form validation field errors backend response bilan ko'rsin. Token saqlansin va logout ishlasin.","High","Task","Frontend","Auth UI","5","Dev A","Frontend","Frontend foundation and auth API ready","Login/signup/reset UI works; errors visible; protected routes redirect; tests/manual QA"
"Frontend global layout header footer","Kwork-like header logo search category nav auth links avatar dropdown mobile menu va footer yarating. Responsive holatlari frontend-ui-kwork specga mos bo'lsin.","High","Task","Frontend","Layout UI","5","Dev B","Frontend","Frontend foundation and category API ready","Desktop/mobile header works; search submits; footer links; responsive checked"
"Frontend homepage","Homepage hero search catalog cards stats how-it-works portfolio inspiration CTA sections yarating. APIdan categories/stats oling. Empty data holati buzilmasin.","Medium","Task","Frontend","Homepage UI","5","Dev C","Frontend","Layout and homepage API ready","Homepage specga mos; categories show; search navigates; mobile OK"
"Frontend category and listing page","Category landing va subcategory listing page yarating. Filters sidebar sort view toggle kwork cards show more ishlasin. Query params URLda saqlansin.","High","Task","Frontend","Catalog UI","7","Dev B","Frontend","Layout and kwork listing API ready","Listing cards render; filters call API; sort works; mobile filter drawer"
"Frontend kwork detail page","Kwork detail page yarating. Breadcrumb title seller row gallery package table overview attributes portfolio FAQ reviews similar kworks sticky seller/order sidebar ko'rsatilsin.","High","Task","Frontend","Kwork Detail UI","7","Dev C","Frontend","Kwork detail API ready","Detail specga mos; package select; order/contact buttons; responsive package cards"
"Frontend favorite interactions","Listing va detail cardlarda favorite heart ishlasin. Guest login modal ochilsin. Auth user add/remove favorite qiladi. Favorites page yarating.","Medium","Task","Frontend","Favorites UI","3","Dev A","Frontend","Favorite API and listing UI ready","Favorite toggles; optimistic or refetch works; guest blocked; favorites page lists"
"Frontend checkout page","Package extras requirements payment method Click/Payme test order summary bilan checkout page yarating. Pay button order create va payment init/simulate flowga ulanadi.","High","Task","Frontend","Checkout UI","6","Dev A","Frontend","Order and payment APIs ready","Checkout creates order; validation errors shown; payment success redirects order page"
"Frontend order workspace page","Order detail chat timeline status badge deadline summary buyer/seller action buttons delivery revision cancel dispute flows uchun page yarating. Rolega qarab actionlar ko'rinsin.","High","Task","Frontend","Order UI","8","Dev B","Frontend","Order message delivery APIs ready","Buyer and seller views work; messages send; delivery/approve/revision actions work"
"Frontend seller dashboard","Seller overview stats orders tabs kworks list create kwork button earnings links bilan dashboard yarating. Status badges va empty states bo'lsin.","Medium","Task","Frontend","Seller Dashboard","5","Dev C","Frontend","Seller APIs ready","Seller dashboard loads; kworks/orders visible; statuses readable; mobile OK"
"Frontend kwork creation form","Kwork create/edit stepper yarating: basic info packages description requirements media FAQ attributes review submit. Draft save va submit review ishlasin. Validation errors ko'rsin.","High","Task","Frontend","Seller Kwork Form","8","Dev A","Frontend","Kwork CRUD APIs ready","Seller can create draft; add packages/media/FAQ; submit review; rejected reason visible"
